startAgent,SubjectID,Trial,t_now,T_end,testTrajIdx,chooseSwitch,Age,Gender,Comments
velocity,0,0,2,3,1,1,51,F,I recalled which one seemed to provide better protection at different points of time and chose that based on when the attack was going to happen.
velocity,0,1,2,5,1,0,51,F,I recalled which one seemed to provide better protection at different points of time and chose that based on when the attack was going to happen.
velocity,0,2,2,8,1,0,51,F,I recalled which one seemed to provide better protection at different points of time and chose that based on when the attack was going to happen.
velocity,1,0,2,3,2,1,46,M,"If the attack was early, choose B because it's built up. If the attack comes later, choose A because it ends up higher."
velocity,1,1,2,5,2,1,46,M,"If the attack was early, choose B because it's built up. If the attack comes later, choose A because it ends up higher."
velocity,1,2,2,8,2,0,46,M,"If the attack was early, choose B because it's built up. If the attack comes later, choose A because it ends up higher."
velocity,2,0,2,3,0,1,56,F,My strategy was to choose the option that would give me the highest level of defense at the time of the attack.
velocity,2,1,2,5,0,0,56,F,My strategy was to choose the option that would give me the highest level of defense at the time of the attack.
velocity,2,2,2,8,0,0,56,F,My strategy was to choose the option that would give me the highest level of defense at the time of the attack.
velocity,3,0,2,3,2,1,45,M,I wanted to maximize our defense and had to make a desicion on which one would be more powerful during an attack before month 10.
velocity,3,1,2,5,2,0,45,M,I wanted to maximize our defense and had to make a desicion on which one would be more powerful during an attack before month 10.
velocity,3,2,2,8,2,0,45,M,I wanted to maximize our defense and had to make a desicion on which one would be more powerful during an attack before month 10.
velocity,4,0,2,3,1,0,38,M,I tried to rely on how well the bars were moving for Type A to determine if I should stay or switch.
velocity,4,1,2,5,1,1,38,M,I tried to rely on how well the bars were moving for Type A to determine if I should stay or switch.
velocity,4,2,2,8,1,0,38,M,I tried to rely on how well the bars were moving for Type A to determine if I should stay or switch.
velocity,5,0,2,3,2,1,26,Non-binary,"Type A has the most growing capability and always ended up the strongest in the long term, but in the short term, B was stronger for short term attacks (month 4-5 and under)."
velocity,5,1,2,5,2,1,26,Non-binary,"Type A has the most growing capability and always ended up the strongest in the long term, but in the short term, B was stronger for short term attacks (month 4-5 and under)."
velocity,5,2,2,8,2,0,26,Non-binary,"Type A has the most growing capability and always ended up the strongest in the long term, but in the short term, B was stronger for short term attacks (month 4-5 and under)."
velocity,6,0,2,3,2,1,53,M,my strategy was to switch if necessary to maintain the best defense possible.
velocity,6,1,2,5,2,1,53,M,my strategy was to switch if necessary to maintain the best defense possible.
velocity,6,2,2,8,2,1,53,M,my strategy was to switch if necessary to maintain the best defense possible.
velocity,7,0,2,3,2,1,26,M,I chose which one had the larger dark green bar and seemed the most promising. 
velocity,7,1,2,5,2,1,26,M,I chose which one had the larger dark green bar and seemed the most promising. 
velocity,7,2,2,8,2,1,26,M,I chose which one had the larger dark green bar and seemed the most promising. 
velocity,8,0,2,3,0,0,40,F,"I tried to choose the system that would yield the greatest defense capability, given the examples I was shown. Type A seemed to be the best option."
velocity,8,1,2,5,0,0,40,F,"I tried to choose the system that would yield the greatest defense capability, given the examples I was shown. Type A seemed to be the best option."
velocity,8,2,2,8,0,0,40,F,"I tried to choose the system that would yield the greatest defense capability, given the examples I was shown. Type A seemed to be the best option."
velocity,9,0,2,3,2,1,52,F,"I tried to think of what would give me the strongest overall field at the turn the attack would take place, based on how the fields seemed to increase in the examples and the starting levels of each type of energy field."
velocity,9,1,2,5,2,1,52,F,"I tried to think of what would give me the strongest overall field at the turn the attack would take place, based on how the fields seemed to increase in the examples and the starting levels of each type of energy field."
velocity,9,2,2,8,2,0,52,F,"I tried to think of what would give me the strongest overall field at the turn the attack would take place, based on how the fields seemed to increase in the examples and the starting levels of each type of energy field."
velocity,10,0,2,3,2,0,57,F,I used the strong past history of continuing using strategy A to build a stronger defence against alien attacks.
velocity,10,1,2,5,2,0,57,F,I used the strong past history of continuing using strategy A to build a stronger defence against alien attacks.
velocity,10,2,2,8,2,0,57,F,I used the strong past history of continuing using strategy A to build a stronger defence against alien attacks.
velocity,11,0,2,3,0,1,61,F,I wanted to make sure we had a strong defense from the beginning if the attack was early but if the attack was later in the year then I wanted the strongest defense over time
velocity,11,1,2,5,0,0,61,F,I wanted to make sure we had a strong defense from the beginning if the attack was early but if the attack was later in the year then I wanted the strongest defense over time
velocity,11,2,2,8,0,0,61,F,I wanted to make sure we had a strong defense from the beginning if the attack was early but if the attack was later in the year then I wanted the strongest defense over time
velocity,12,0,2,3,1,1,52,M,I looked at the month attack and chose which one would likely be the strongest at that time.
velocity,12,1,2,5,1,0,52,M,I looked at the month attack and chose which one would likely be the strongest at that time.
velocity,12,2,2,8,1,0,52,M,I looked at the month attack and chose which one would likely be the strongest at that time.
velocity,13,0,2,3,0,1,24,F,"I based it off the examples and how if I have more time, Type A seems better for long-term but Type B was better for short term."
velocity,13,1,2,5,0,0,24,F,"I based it off the examples and how if I have more time, Type A seems better for long-term but Type B was better for short term."
velocity,13,2,2,8,0,0,24,F,"I based it off the examples and how if I have more time, Type A seems better for long-term but Type B was better for short term."
velocity,14,0,2,3,2,1,43,M,I was looking for ways to increase my odds to win the maximum bonus! I felt type B was better.
velocity,14,1,2,5,2,1,43,M,I was looking for ways to increase my odds to win the maximum bonus! I felt type B was better.
velocity,14,2,2,8,2,0,43,M,I was looking for ways to increase my odds to win the maximum bonus! I felt type B was better.
velocity,15,0,2,3,0,1,33,M,I chose the one that I thought would be the most powerful by the time of the attack.
velocity,15,1,2,5,0,0,33,M,I chose the one that I thought would be the most powerful by the time of the attack.
velocity,15,2,2,8,0,0,33,M,I chose the one that I thought would be the most powerful by the time of the attack.
velocity,16,0,2,3,1,0,44,F,I thought Type A would be the best strategy overall. 
velocity,16,1,2,5,1,0,44,F,I thought Type A would be the best strategy overall. 
velocity,16,2,2,8,1,0,44,F,I thought Type A would be the best strategy overall. 
velocity,17,0,2,3,0,0,35,M,"The examples showed plan A being crazy strong, so I was really leaning into that."
velocity,17,1,2,5,0,0,35,M,"The examples showed plan A being crazy strong, so I was really leaning into that."
velocity,17,2,2,8,0,0,35,M,"The examples showed plan A being crazy strong, so I was really leaning into that."
velocity,18,0,2,3,0,1,61,F,"Given the examples of how the amount of capacity each energy type had at different points in time, I chose the type of energy that I thought would have the highest capacity at 3, 5 and 8 months."
velocity,18,1,2,5,0,1,61,F,"Given the examples of how the amount of capacity each energy type had at different points in time, I chose the type of energy that I thought would have the highest capacity at 3, 5 and 8 months."
velocity,18,2,2,8,0,0,61,F,"Given the examples of how the amount of capacity each energy type had at different points in time, I chose the type of energy that I thought would have the highest capacity at 3, 5 and 8 months."
velocity,19,0,2,3,0,1,37,F,"It depends on the month of possible attack. I felt A had the potential to build more energy over the first few months after 3, so for attacks before 6-7 months I chose A."
velocity,19,1,2,5,0,0,37,F,"It depends on the month of possible attack. I felt A had the potential to build more energy over the first few months after 3, so for attacks before 6-7 months I chose A."
velocity,19,2,2,8,0,0,37,F,"It depends on the month of possible attack. I felt A had the potential to build more energy over the first few months after 3, so for attacks before 6-7 months I chose A."
velocity,20,0,2,3,2,0,58,F,Trying to have the strongest defense for the longest period of time.
velocity,20,1,2,5,2,0,58,F,Trying to have the strongest defense for the longest period of time.
